planned performance;geplante Leistung, Leistungsvorgabe
are to be borne by the principal;müssen vom Auftraggeber getragen werden
to request a nomination;eine Nominierung erbitten
typist;Stenotypistin
effectively delivered;tatsächlich angeliefert
evidence of conformity;Nachweis der Übereinstimmung
re-employment;Wiedereinstellung
dunning statistics;Mahnstatistik
liquidity;Liquidität
vantage;Vorteil
relaxation;Entspannung
flotation;Inumlaufsetzung von Aktien
shifter;Schichtarbeiter
framework;Rahmen, System
except that;mit der Ausnahme jedoch, dass
milder punishment;mildere Bestrafung
cash on hand;Kassenbestand
depot;Lagerhalle, (US) Güterbahnhof
degree of mechanization;Grad der Mechanisierung
breach of privilege;Verstoß gegen Privilegien
we want to terminate our agreement;wir möchten den Vertrag kündigen
management consultant;Betriebsberater, Unternehmensberater
for financing our export sales;zur Finanzierung unserer Exportgeschäfte
works manager;Betriebsleiter, Werksleiter
the relationship between;die Beziehung zwischen
reference performance;Bezugsleistung
extravagance;Verschwendungssucht
upper management;obere Führungsebene
warehouse;Warenlager, Lagerhalle, Lager
if there are several stations;gibt es mehrere Bahnhöfe
weak market;lustloser Markt
domestic order;Inlandsauftrag
anticipated prices;erwartete Preise
interest number;Zinszahl
application fee;Anmeldegebühr
subject to alterations;Änderungen vorbehalten
originate;herstammen, begründen
obligation;Verpflichtung, Schuldverschreibung, Obligatio
notice-board;schwarzes Brett
to be in accordance with;in Übereinstimmung sein, entsprechen
account of exchange;Wechselkonto
financial policy;Finanzpolitik
warning light;Signallampe
settlement of accounts;Abrechnung der Konten, Kontenausgleich
clean piece rate;einfacher Stücklohn
loss of profits;Gewinnrückgang
yard;Hof
recall method;Erinnerungsmethode
production engineering;Produktionsbestgestaltung
tempo;Geschwindigkeit
personal allowance;persönliche Zeitzugabe, persönlicher Freibetrag
young persons;Jugendliche
production bonus system;Prämiensystem
fancy article, fancy goods;Modeartikel
humidifier;Luftbefeuchtungsanlage
economy;Wirtschaft, Wirtschaftlichkeit
broken-period interest;aufgelaufener Zins
customs seal;Zollsiegel
make over;vermachen, überschreiben
duly put at his disposal;ihm ordnungsgemäß zur Verfügung gestellt
cost of education;Bildungsaufwand
dialing tone;Amtszeichen
department store;Kaufhaus
sale of services;Dienstleistungsverkauf
managerial economics;Betriebswirtschaftslehre
any expenses incurred by banks;alle Auslagen, die den Banken entstehen
according to circumstances;je nach den Umständen, nach den Umständen
offer of amends;Wiedergutmachungsangebot
theory of social balance;Theorie des sozialen Gleichgewichts
aftereffect, after-effect;Nachwirkung
backward area;rüchständiges Gebiet
implied;impliziert
in pawn;verpfändet
explanation;Erklärung
diplomat;Diplomat
interest account;Zinskonto
security carrier company;Sicherheitstransportunternehmen
current assets;Umlaufvermögen
at full value;zum vollen Wert
financial account;Finanzkonto
habit-building;gewohnheitsformend
a wide circle of;ein weiter Kreis von
brain work;geistige Arbeit
quanity;Menge
surplus funds;Überschuss, Rücklage
composition of investment;Zusammensetzung der Kapitalanlage
marginal buyer;Grenzkäufer, Käufer der zu dem Preis gerade noch kauft
included;eingeschlossen
packing included;Verpackung eingeschlossen
sincere thanks are given to them all;allen sei herzlich gedankt
select;auswählen
customary;üblich
preliminary inquiry;Voruntersuchung
to answer for damages;für den Schaden aufkommen
monetary system;Geldsystem, Münzsystem, Währungssystem
charges to be collected;Gebühren sind einzuziehen
interest earnings;Zinsertrag
anticipation;Vorwegnahme, Vorausschätzung
capture;fangen
charge interest;Zinsen berechnen
made by such branch;von dieser Filiale vorgenommen
length of cycle;Taktdauer, Taktzeit
duly paid;ordentlich bezahlt
advertising appeal;Werbeappell
average decrement;Durchschnittsabnahme
delegation;Delegation, Übertragung einer Vollmacht
in monetary form;in Form von Geld
force majeure;höhere Gewalt
channel of distribution;Vertriebskanal
warehouse to warehouse;von Haus zu Haus
deferred charges to expense;transitorisches Aktivum
bank of deposit;Depositenbank
product history;Geschichte eines Produkts
adaptable demand;anpassungsfähige Nachfrage
life cycle of a product;Lebensdauer eines Artikels
adjustment for seasonal variations;Saisonbereinigung
odd lot;Restposten, weniger als 100 Aktien
contains a reference to;einen Hinweis erhält auf
investigate;erforschen, untersuchen
conflict;Konflikt
to indemnify;entschädigen, schadlos halten
unless the order so authorizes;sofern dies der Auftrag nicht gestattet
actual balance;Effektivbestand
time consuming;zeitraubend
building industry;Baugewerbe, Baubranche
bargain-sale;Ausverkauf mit günstigen Gelegenheiten
obligations arising out of a B/E;Wechselverpflichtungen
to instruct;einweisen, anweisen
name of wife;Name der Ehefrau
mail-order catalogue;Versandhauskatalog, Versandkatalog
acquire by purchase;käuflich erwerben
to submit a statement;eine Erklärung vorlegen, Darstellung vorlegen
tea break;Teepause
enter into engagements;Verbindlichkeiten eingehen
performance of a contract;Erfüllung eines Vertrages
early warning system;Frühwarnsystem
luxory;luxoriös, Luxus
immediate object;unmittelbares Ziel
bounce;platzen (Scheck)
subject to authorization;genehmigungspflichtig
underloaded;unterbelastet
tare;Gewicht der Verpackung
annuity;Annuität, jährliche Zahlung, Rente
estimated inventory;geschätzte Inventur
commitment;Verpflichtung
counter-evidence;Gegenbeweis
by the quickest mail;mit schnellstem Postversand
proof study;Kontrollzeitstudie
unsatisfied demand;unbefriedigte Nachfrage
bullion van;Geldtransportfahrzeug
registered luggage;Passagiergut
subject to prior sale;Zwischenverkauf vorbehalten
conventional interest;üblicher Zinssatz
found;begründen, gefunden
investment business;Anlagegeschäft
readjustment;Wiederanpassung, Neuverteilung
unionist;Gewerkschaftsmitglied
market conditions;Marktbedingungen
specialized;spezialisiert
to the extent to which they may be applicable;soweit anwendbar
carter;Fuhrunternahmer
error probability;Fehlerwahrscheinlichkeit
yearly;jährlich
expense account;Spesenkonto
substantial contribution;ansehnlicher Beitrag
derived income;abgeleitetes Einkommen, sekundäres Einkommen
acclamation;Zustimmung durch Zuruf
gainless;unrentabel
the bank must determine;die Bank muss entscheiden
skewness;Schräge
execution of a contract;Ausführung eines Vertrages
Christmas shopping;Weihnachtseinkäufe
carload;Wagenladung, Waggonladung
concurrence of circumstances;Zusammentreffen von Umständen
bagman;Handlungsreisender (Br.veraltet)
correspondent bank;Korrespondenzbank
bill of material;Stückliste
right of compensation;Anspruch auf Entschädigung
the documents contemplated in A.2;die in A.2 vorgesehenen Dokumente
flimsy paper;Durchschlagpapier, leichtes Papier für Durchschläge
to take effect;in Kraft traten
news in brief;Kurznachrichten
accept the documents;die Dokumente abnehmen
transferee;Erwerber
motion time standard;Standardzeitwert für eine Bewegung
government property;Staatseigentum
tentatively;zögernd, versuchsweise
landed cost;Kosten einschließlich Ausladen und Zoll
brisk demand;rege Nachfrage
cash flow;Berechnung der verfügbaren Mittel, Geldfluss
the liability to clear the goods;die Verantwortung für die Einfuhrabfertigung, die Verpflichtung zur Zollabfertigung
appreciation;Würdigung
as stated below;wie unten angegeben
letter of deposit;Bestätigung der Hinterlegung, Hinterlegungsschein
assumption of a debt;Übernahme einer Schuld
connect;verbinden
addition of a letter;Zusatz eines Buchstabens
distribution cartel;Vertriebskartell
capital unemployed;totes Kapital
in doing so;dabei
immediately available;sofort verfügbar
lack of proper care;Mangel an ordentlicher Fürsorge
visible;sichtbar
to collect a debt;eine Schuld eintreiben
class of accounts;Kontenklasse
pensionable;ruhegehaltsfähig
freight prepaid;Fracht im voraus bezahlt
committee of inspection;Inspektionskomittee
joint account;gemeinsames Konto, Gemeinschaftskonto, Gemeinschaftsrechnung
kilometre;Kilometer
skilled work;Facharbeit
household money;Wirtschaftsgeld
proximo;nächster
enforce;erzwingen
marine insurance;Seeversicherung
exact number;genaue Zahl
cash payment;Barzahlung
calculate;ausrechnen, kalkulieren
excess capacity;Überkapazität
tariff walls;Zollmauern
sales floor;Verkaufsfläche
price determination;Preisbestimmung, Preisfestlegung
certificate of origin;Ursprungszeugnis
operating result;Betriebsergebnis
direct work;direkte Arbeit, produktive Arbeit
measured;bemessen
political attitude;politische Einstellung
operate economically;sparsam wirtschaften
foreign coins and notes;ausländische Sorten
recourse to drawer;Rückgriff auf den Auftraggeber
adhere to a time limit;sich an eine Frist halten
production centre;Fertigungsstelle
reduce;reduzieren, herabsetzen
weights and measures;Maße und Gewichte
remit money;Geld überweisen
original wrapping;Originalverpackung
strategic;strategisch
proper facilities;angemessene Einrichtungen
quality assurance;Gütesicherung
period;Zeitraum
result checking;Erfolgskontrolle
level of significance;Signifikanzebene
means of conveyance;Transportmittel
crossed cheque;Verrechnungsscheck
wage ceiling;Lohnobergrenze, höchster Lohn
shall make the goods available;soll die Ware zur Verfügung stellen
shareholder;Aktionär
industrial injury insurance;Betriebsunfallversicherung
under-the-counter sales;Unter-dem-Tisch-Verkauf
as may be necessary;erforderlich
a reasonable amount of assistance;Hilfe in angemessenem Umfang
reimbursement;Rückerstattung
cash business;Bargeschäft
compensation for outlay;Kostenerstattung
to take such measures as;die erforderlichen Maßnahmen zu treffen wie
persuasion;Überredung
tube;Tube, Röhre
arrears;Rückstände, Zahlungsrückstände
to economize;wirtschaftlich verfahren, sparsam sein
compensate;kompensieren
routine;Routine
gainings;Gewinn, Verdienst, Profite
double column;Doppelspalte
sales trainer;Verkaufstrainer
unforeseen interruption;unvorhergesehene Unterbrechung
installation costs;Installationskosten, Afstellkosten
consortium;Konsortium
tariff of fares;Fahrpreisverzeichnis
first-hand;aus erster Hand
vice-president;Vizepräsident
real estate account;Grundstückskonto
cooperative selling;genossenschaftliches Verkaufen
ceiling wage;Höchstlohn
keep from;fernhalten
company debts;Schulden der Firma
liner waybill;Seefrachtbrief
to sign a promissory note;einen Solawechsel zu unterschreiben
wholesale centre;Großhandelszentrum
living together;zusammenlebend
safety engineer;Sicherheitsingenieur, Sicherheitsbeauftragter
bold type;fetter Satz
non-disclosure;Unterlassung einer Mitteilung, Nichtoffenbarung
as if he were in possession;als ob er im Besitz wäre
pollution of rivers;Flussverschmutzung
overall time;Gesamtzeit
issuing price;Emissionspreis
additional payment;Nachzahlung, zusätzliche Zahlung
market acceptance;Aufnahme des Produkts
sight bill;Sichtwechsel
overall charge;Pauschalgebühr
translation bureau;Übersetzungsbüro
capitalize;aktivieren, kapitalisieren
yield on shares;Ertrag aus Aktien, Rendite der Aktien
accumulation;Anhäufung
increased requirements;erhöhter Bedarf
bear the costs;die Kosten tragen
in working order;in betriebsfähigem Zustand
illicit labour;Arbeitskräfte ohne Arbeitsgenehmigung
exporter;Exporteur, Ausführer
safe-keeping;sichere Verwahrung, sichere Aufbewahrung
reinvestor;Wiederanleger
limited means;begrenzte Mittel
give an estimate for;Kostenvoranschlag machen
clean acceptance;bedingunsloses Akzept, uneingeschränktes Akzept
directly from the beneficiary;direkt vom Begünstigten
marketing channels;Absatzwege
manual work;Handarbeit
average number;Durchschnittszahl
breach of neutrality;Bruch der Neutralität
open all night;die ganze Nacht geöffnet
contact with other cargoes;Berührung mit anderen Ladungen
by acceptance;durch Akzeptleistung
board of administration;Verwaltungsrat
ownership;Eigentümerschaft, Eigentumsrecht
holder of preferential shares;Vorzugsaktionär
for obtaining the payment of money;zum Erlangen von Zahlungen
foul play;faules Vorgehen
semi-skilled;angelernt
real estate;Grundbesitz, Grundstücks- und Hausbesitz
freedom of competition;Wettbewerbsfreiheit
face amount of a bill;Nennwert eines Wechsels
ample;reichlich
overextension;Überschuldung
not being a sailing vessel;Segelschiff ausgenommen
in the manner specified;in der vorgeschrieben Art
high flyers;stark favorisierte Aktien
open-minded;aufgeschlossen
used when goods are carried by rail;benutzt für den Schienentransport
inflation gain;Inflationsgewinn
purchasing agent;Einkäufer
flourish;blühen, gedeihen
earthquake;Erdbeben
service department;Dienstleistungsabteilung, Kundendienst
day-to-day accommodation;Tagesgelder
trade journal;Fachzeitschrift
in the work;an der Arbeit
